Age,Gender,Education,Job Title,Experience (Years),Monthly Salary (INR)
58,Male,Bachelor,Teacher,38,58518
56,Other,Master,Financial Analyst,36,80429
22,Female,Bachelor,Mechanical Engineer,1,26021
21,Female,Bachelor,UI/UX Designer,0,25000
38,Male,Master,Project Manager,2,52161
32,Male,Bachelor,System Administrator,9,37274
37,Female,Bachelor,Business Analyst,11,43248
34,Female,Master,UI/UX Designer,3,27169
56,Female,Master,HR Manager,13,42993
57,Male,Master,Project Manager,19,66551
34,Male,Master,Marketing Manager,9,36512
39,Female,Master,Project Manager,1,50979
26,Female,Bachelor,Data Scientist,5,42859
24,Female,Diploma,Marketing Manager,0,30000
42,Male,Bachelor,Legal Advisor,2,31697
31,Male,PhD,Project Manager,11,64571
40,Female,High School,Teacher,17,36189
22,Female,Bachelor,Electrical Engineer,2,27080
51,Male,Master,Civil Engineer,28,49297
23,Female,Bachelor,Mechanical Engineer,1,26011
47,Male,Bachelor,Mechanical Engineer,3,27265
42,Male,High School,Research Analyst,6,33437
42,Male,Master,Teacher,15,27981
26,Male,Master,Software Engineer,1,31307
41,Other,PhD,Data Scientist,17,57708
23,Female,High School,Content Writer,3,21376
21,Male,Bachelor,Civil Engineer,0,25000
28,Female,Master,System Administrator,2,27083
22,Male,Master,UI/UX Designer,1,26246
43,Female,Master,Network Engineer,17,45990
26,Female,Diploma,Network Engineer,5,28951
24,Female,Master,Research Analyst,4,28179
27,Male,Master,Sales Executive,3,22767
58,Male,Master,Research Analyst,13,34295
30,Male,Bachelor,Content Writer,9,23715
52,Female,Bachelor,Content Writer,2,19603
52,Male,Master,Content Writer,8,29545
50,Male,Bachelor,Business Analyst,22,62894
46,Male,Diploma,Customer Support,19,37260
21,Male,Bachelor,Project Manager,1,50648
22,Female,Bachelor,Operations Manager,2,42562
25,Male,High School,Software Engineer,2,31307
50,Male,Bachelor,Financial Analyst,30,50944
23,Female,Master,Research Analyst,1,26489
48,Female,PhD,HR Manager,28,59660
22,Male,Diploma,Data Scientist,2,41534
55,Male,Diploma,Business Analyst,13,37887
56,Female,Master,Operations Manager,2,41392
59,Male,Master,Content Writer,15,34957
54,Male,Diploma,Sales Executive,6,25682
32,Female,Bachelor,Marketing Manager,2,32099
60,Female,Bachelor,Software Engineer,39,63344
33,Male,Master,IT Support Specialist,0,20000
47,Female,Master,Customer Support,17,36899
39,Female,Master,Sales Executive,14,29196
47,Female,Master,Electrical Engineer,24,42593
52,Male,High School,Financial Analyst,8,38250
33,Male,Bachelor,Civil Engineer,12,35556
24,Male,Diploma,Electrical Engineer,4,29524
43,Male,Master,Marketing Manager,6,35685
57,Female,PhD,Operations Manager,26,69699
22,Female,Diploma,Data Scientist,0,40000
25,Male,Bachelor,Legal Advisor,2,32614
23,Male,Bachelor,Project Manager,3,53185
51,Male,Master,Customer Support,12,32579
50,Male,Bachelor,Mechanical Engineer,26,54687
60,Male,Bachelor,Teacher,12,30713
38,Female,Master,Business Analyst,3,32304
47,Male,Bachelor,Mechanical Engineer,5,29820
24,Female,High School,Software Engineer,0,30000
32,Male,Bachelor,Financial Analyst,6,35263
31,Female,Master,Content Writer,6,25726
35,Male,Master,Customer Support,13,26144
52,Female,Bachelor,Software Engineer,31,50352
54,Male,PhD,Data Scientist,10,52892
42,Female,PhD,Data Scientist,1,41024
32,Male,Bachelor,System Administrator,3,29020
60,Female,Master,Customer Support,16,25013
45,Male,Bachelor,Sales Executive,7,26170
60,Female,Master,Financial Analyst,11,40042
36,Female,High School,Research Analyst,16,44414
40,Female,Bachelor,Product Manager,7,59736
59,Male,Bachelor,System Administrator,14,37599
48,Male,Bachelor,Project Manager,6,58966
44,Female,Diploma,System Administrator,1,25691
34,Female,Master,Financial Analyst,10,40124
53,Female,Bachelor,Business Analyst,2,32935
29,Female,Master,Electrical Engineer,5,28473
26,Male,Bachelor,Accountant,2,26331
37,Male,Bachelor,Legal Advisor,10,43146
48,Female,Bachelor,Research Analyst,13,43754
50,Female,Master,IT Support Specialist,15,27620
51,Male,Bachelor,UI/UX Designer,0,25000
26,Other,Bachelor,Data Scientist,5,43203
56,Other,Bachelor,Accountant,7,29065
49,Male,Bachelor,Product Manager,27,64671
39,Male,Bachelor,IT Support Specialist,9,28757
42,Other,Master,Data Scientist,13,59482
26,Male,Bachelor,Financial Analyst,1,31200
25,Male,Bachelor,Financial Analyst,0,30000
56,Male,Bachelor,UI/UX Designer,17,39547
22,Female,Master,Teacher,0,20000
45,Male,Diploma,Business Analyst,19,55934
29,Female,Bachelor,Marketing Manager,3,34366
31,Female,Master,Product Manager,9,57019
34,Female,Bachelor,Content Writer,2,20389
57,Male,Bachelor,Content Writer,26,52304
37,Female,Bachelor,Customer Support,8,25320
53,Male,Bachelor,Business Analyst,3,32602
54,Male,Master,Content Writer,19,40117
23,Female,Bachelor,Electrical Engineer,3,27823
33,Female,Bachelor,HR Manager,0,35000
56,Male,Bachelor,Legal Advisor,23,53362
43,Male,Bachelor,Marketing Manager,10,36084
59,Male,Bachelor,Content Writer,36,54583
44,Male,Bachelor,Legal Advisor,16,41289
45,Female,Bachelor,Data Scientist,11,56283
23,Female,Master,Research Analyst,0,25000
33,Male,Bachelor,Marketing Manager,8,38748
27,Female,Bachelor,Data Scientist,1,40822
28,Male,Bachelor,HR Manager,7,44939
25,Male,Master,Electrical Engineer,3,29061
58,Male,Bachelor,Content Writer,4,22385
44,Male,Bachelor,Accountant,12,33997
26,Female,Master,Project Manager,0,50000
59,Male,Bachelor,Legal Advisor,2,31386
33,Female,Diploma,Operations Manager,12,47823
39,Female,Bachelor,Content Writer,16,36838
32,Male,Bachelor,Network Engineer,0,25000
36,Female,Bachelor,Content Writer,6,22700
34,Female,Bachelor,System Administrator,3,26885
29,Other,Master,IT Support Specialist,6,24015
24,Male,Bachelor,Data Scientist,3,42174
50,Male,PhD,Accountant,7,32712
33,Male,Bachelor,Research Analyst,11,41466
49,Female,Master,IT Support Specialist,11,27469
48,Male,Bachelor,System Administrator,12,42418
29,Female,Bachelor,Electrical Engineer,1,26138
31,Male,Bachelor,Research Analyst,9,31704
34,Female,Bachelor,Teacher,14,38969
36,Male,Bachelor,Marketing Manager,7,36213
24,Female,Master,Civil Engineer,1,26312
24,Female,PhD,Accountant,2,26303
36,Other,High School,IT Support Specialist,2,23000
34,Female,Diploma,Mechanical Engineer,13,37962
35,Female,High School,Civil Engineer,7,31041
32,Male,Master,Electrical Engineer,1,25883
36,Male,Master,UI/UX Designer,12,31202
22,Female,Bachelor,Mechanical Engineer,2,26139
23,Other,Master,System Administrator,2,26634
26,Female,Diploma,Customer Support,5,18137
59,Female,Master,Network Engineer,35,59023
21,Male,Master,Sales Executive,0,20000
46,Female,Bachelor,Civil Engineer,6,29322
28,Male,Bachelor,Accountant,7,30049
38,Male,High School,Network Engineer,2,26574
43,Female,Bachelor,Legal Advisor,11,45002
56,Male,Bachelor,System Administrator,18,44387
37,Female,Bachelor,Business Analyst,6,37615
40,Female,Master,Teacher,2,21005
60,Male,Master,Civil Engineer,17,40875
51,Female,Bachelor,Graphic Designer,3,22581
48,Male,Master,Research Analyst,22,46901
45,Male,Bachelor,Network Engineer,17,39820
53,Male,PhD,Civil Engineer,21,36497
21,Male,PhD,Product Manager,1,51369
51,Male,Master,Project Manager,16,61393
53,Male,Bachelor,HR Manager,14,52978
22,Male,Master,IT Support Specialist,0,20000
52,Male,Diploma,Marketing Manager,28,58127
28,Male,Bachelor,IT Support Specialist,0,20000
36,Female,Bachelor,Project Manager,16,67372
39,Male,Master,Product Manager,13,61107
50,Female,PhD,IT Support Specialist,20,36628
24,Female,Bachelor,Sales Executive,3,23800
42,Other,Bachelor,System Administrator,19,44595
57,Female,Bachelor,Mechanical Engineer,2,27289
36,Female,Bachelor,HR Manager,0,35000
49,Female,Bachelor,UI/UX Designer,18,45452
54,Male,Diploma,System Administrator,12,40664
52,Male,Diploma,Content Writer,20,28122
56,Male,Master,Mechanical Engineer,5,29067
33,Male,Bachelor,Sales Executive,3,22199
59,Male,Master,System Administrator,26,44143
54,Male,Master,Operations Manager,27,70417
60,Male,Bachelor,Data Scientist,9,48618
56,Male,Master,Business Analyst,31,49908
31,Male,Bachelor,Content Writer,5,22533
53,Female,Bachelor,Business Analyst,30,66761
33,Other,Master,Product Manager,6,58929
53,Other,Diploma,Operations Manager,19,64021
57,Female,Master,Legal Advisor,33,50223
49,Female,Bachelor,Software Engineer,2,31088
59,Male,Bachelor,IT Support Specialist,36,70953
60,Female,Master,Network Engineer,33,68595
23,Female,Master,Business Analyst,0,30000
59,Female,Diploma,Customer Support,2,16420
30,Male,Master,HR Manager,1,35909
25,Female,Bachelor,Data Scientist,2,41182
37,Male,High School,Financial Analyst,16,41677
34,Male,High School,System Administrator,5,28105
53,Female,PhD,Electrical Engineer,15,33648
51,Female,Bachelor,System Administrator,21,54099
34,Male,Bachelor,Project Manager,1,50586
49,Male,High School,HR Manager,25,71414
42,Female,Bachelor,Legal Advisor,14,43246
21,Female,Master,Customer Support,0,15000
45,Male,Master,Research Analyst,11,38157
49,Female,Master,Legal Advisor,3,33335
21,Female,Bachelor,Research Analyst,1,25890
60,Male,Master,Content Writer,18,28885
28,Male,Master,Sales Executive,3,21822
40,Male,Bachelor,Financial Analyst,9,39680
30,Male,Bachelor,Accountant,8,35105
24,Female,Bachelor,Sales Executive,3,24115
51,Female,PhD,Content Writer,28,45875
29,Male,Master,Sales Executive,3,21958
27,Male,Bachelor,Accountant,6,28234
46,Female,Bachelor,Mechanical Engineer,10,38197
24,Male,Master,Software Engineer,4,35667
41,Male,Bachelor,UI/UX Designer,6,28107
48,Female,Bachelor,Operations Manager,25,53464
38,Male,Bachelor,Marketing Manager,4,35222
58,Female,PhD,Accountant,1,26435
50,Female,Bachelor,Customer Support,21,43027
31,Female,Master,Software Engineer,7,34638
47,Female,Bachelor,Customer Support,16,33828
40,Other,Master,Electrical Engineer,7,32947
24,Male,Master,Customer Support,2,17122
60,Male,Diploma,IT Support Specialist,15,42078
56,Male,Bachelor,Software Engineer,36,49493
60,Female,Master,Teacher,0,20000
60,Female,Bachelor,IT Support Specialist,26,51228
30,Female,Bachelor,Mechanical Engineer,5,27842
23,Male,Master,Software Engineer,1,31371
33,Male,Bachelor,Legal Advisor,2,32980
42,Female,Bachelor,Accountant,18,50329
28,Female,Bachelor,HR Manager,0,35000
58,Female,Master,Sales Executive,29,60308
29,Female,Bachelor,Sales Executive,6,26147
26,Female,Master,Business Analyst,3,34498
53,Female,Bachelor,IT Support Specialist,6,23890
40,Male,Bachelor,Data Scientist,9,47958
35,Male,Master,Content Writer,6,26201
41,Female,Master,HR Manager,7,38605
38,Female,Master,Electrical Engineer,1,25874
58,Male,PhD,Business Analyst,38,69667
38,Male,Master,Product Manager,17,73899
60,Female,Bachelor,Mechanical Engineer,22,42936
24,Female,Diploma,Business Analyst,3,34174
59,Other,Bachelor,Teacher,28,38679
41,Male,Bachelor,Mechanical Engineer,3,27405
43,Female,Bachelor,Sales Executive,2,21901
57,Male,Master,Civil Engineer,28,62297
54,Male,Bachelor,Legal Advisor,34,67397
34,Male,PhD,Mechanical Engineer,5,30962
24,Female,Master,Product Manager,3,53461
33,Other,High School,Business Analyst,7,36505
36,Female,Bachelor,Product Manager,1,50903
42,Male,Bachelor,Customer Support,20,43334
42,Female,Diploma,Business Analyst,21,60894
42,Male,Bachelor,Graphic Designer,7,25063
42,Female,Master,Sales Executive,5,26122
43,Male,Bachelor,Electrical Engineer,20,52668
53,Male,Bachelor,Software Engineer,25,47728
53,Male,Bachelor,HR Manager,15,53100
56,Female,Master,Research Analyst,32,69205
49,Male,Diploma,Teacher,19,44224
36,Male,PhD,IT Support Specialist,13,28981
46,Female,Bachelor,Research Analyst,1,25627
32,Female,Bachelor,Sales Executive,5,23558
47,Male,Bachelor,Mechanical Engineer,12,42933
33,Female,PhD,Product Manager,12,56345
43,Male,Bachelor,Legal Advisor,10,35841
50,Male,Bachelor,Project Manager,13,65378
50,Female,Bachelor,Financial Analyst,17,50162
24,Male,High School,System Administrator,0,25000
39,Female,Bachelor,Electrical Engineer,12,42557
45,Male,Master,Financial Analyst,20,56931
37,Male,Master,System Administrator,11,35616
47,Female,Diploma,Graphic Designer,13,31119
58,Male,Bachelor,Network Engineer,20,45068
52,Male,Master,Legal Advisor,2,31347
54,Male,Diploma,Civil Engineer,10,38030
51,Female,Bachelor,Project Manager,13,62066
51,Female,PhD,Electrical Engineer,3,26574
31,Male,Bachelor,Research Analyst,8,31660
55,Female,Master,Graphic Designer,2,21770
46,Male,Bachelor,Network Engineer,14,39513
60,Male,Bachelor,Legal Advisor,5,33107
25,Female,Bachelor,Legal Advisor,3,32110
48,Male,Master,UI/UX Designer,14,33090
34,Other,Master,Product Manager,6,53499
53,Female,Bachelor,Financial Analyst,27,55710
27,Female,Diploma,Content Writer,5,22106
58,Male,Master,IT Support Specialist,17,42677
33,Male,Diploma,System Administrator,2,27276
56,Male,High School,Accountant,29,59223
43,Male,Master,System Administrator,6,29958
56,Male,Diploma,System Administrator,14,45735
41,Female,Master,Electrical Engineer,13,44438
35,Female,Master,Financial Analyst,4,32926
40,Male,Master,Legal Advisor,2,32782
46,Female,Bachelor,Electrical Engineer,26,44771
42,Male,Bachelor,Marketing Manager,1,30835
34,Female,Bachelor,Operations Manager,10,53099
30,Other,Bachelor,Data Scientist,10,49997
39,Female,High School,Software Engineer,11,39420
60,Male,Bachelor,Software Engineer,5,32692
52,Male,Bachelor,Customer Support,5,21541
59,Other,Bachelor,Mechanical Engineer,10,30690
49,Male,Bachelor,Network Engineer,19,45980
27,Male,Bachelor,Project Manager,5,53694
25,Male,Master,Software Engineer,3,33842
45,Female,Bachelor,Project Manager,11,62933
25,Female,Bachelor,IT Support Specialist,2,22797
44,Female,High School,System Administrator,3,26835
28,Female,High School,Data Scientist,5,43446
28,Female,Master,Project Manager,6,53120
60,Female,Diploma,Mechanical Engineer,29,47159
34,Other,Master,Customer Support,6,21674
41,Male,Bachelor,Data Scientist,3,44028
37,Female,Master,UI/UX Designer,14,41275
31,Female,Master,Project Manager,9,57844
21,Male,Bachelor,Data Scientist,1,41146
48,Male,Master,Mechanical Engineer,15,43346
29,Male,Bachelor,Accountant,4,30258
53,Female,Bachelor,Financial Analyst,4,34555
25,Female,Bachelor,Customer Support,0,15000
56,Female,High School,Research Analyst,1,25765
27,Female,Bachelor,HR Manager,0,35000
40,Female,Master,UI/UX Designer,9,36592
49,Female,Bachelor,Data Scientist,6,46569
28,Male,Bachelor,Operations Manager,8,45784
39,Female,Master,HR Manager,7,38637
40,Male,Master,UI/UX Designer,7,32893
60,Female,Diploma,Accountant,19,37775
44,Male,Master,Electrical Engineer,24,43827
53,Male,Bachelor,Legal Advisor,7,38225
57,Other,Master,Teacher,11,35355
39,Other,Master,Electrical Engineer,2,26491
45,Female,Bachelor,UI/UX Designer,3,27131
29,Female,Diploma,Operations Manager,9,47453
37,Female,Bachelor,Marketing Manager,7,40100
60,Female,Bachelor,Customer Support,10,22382
43,Female,PhD,Product Manager,22,62077
24,Female,Bachelor,Software Engineer,1,30701
58,Female,Bachelor,Legal Advisor,22,43044
21,Female,Bachelor,Software Engineer,0,30000
29,Other,Diploma,Customer Support,1,16290
53,Female,Bachelor,Mechanical Engineer,5,30810
36,Female,Master,Accountant,12,32050
35,Male,Bachelor,HR Manager,13,51748
58,Male,Bachelor,Product Manager,0,50000
43,Male,Master,Teacher,22,52489
43,Female,PhD,Research Analyst,19,41414
26,Female,Bachelor,Network Engineer,1,25783
59,Female,PhD,HR Manager,18,54738
47,Female,Bachelor,Accountant,2,26571
26,Female,Bachelor,Customer Support,2,17787
31,Male,Bachelor,Teacher,3,23106
57,Male,Diploma,Accountant,1,25972
28,Male,Bachelor,Data Scientist,6,46207
30,Female,Bachelor,HR Manager,3,37037
51,Male,Bachelor,HR Manager,24,53741
26,Female,Bachelor,Research Analyst,4,29030
47,Female,Bachelor,System Administrator,10,30053
60,Male,Bachelor,Data Scientist,23,53869
38,Male,Master,Customer Support,1,16051
41,Male,Bachelor,Research Analyst,10,36961
35,Female,Bachelor,Electrical Engineer,8,29606
27,Female,Bachelor,Operations Manager,3,43621
25,Female,High School,Accountant,3,28481
27,Male,Diploma,Electrical Engineer,7,34580
59,Male,Master,Business Analyst,24,46329
29,Male,Bachelor,Content Writer,5,25260
55,Male,Diploma,Graphic Designer,19,41497
21,Female,Master,Mechanical Engineer,1,26105
42,Female,Master,Operations Manager,11,54547
52,Male,Diploma,UI/UX Designer,0,25000
39,Male,Bachelor,HR Manager,0,35000
54,Male,Bachelor,Operations Manager,22,51245
40,Male,Master,Network Engineer,18,39474
27,Female,Master,Project Manager,6,54007
31,Male,Master,HR Manager,5,37701
37,Female,PhD,System Administrator,11,39569
54,Male,Bachelor,Project Manager,12,56934
39,Female,Bachelor,Sales Executive,5,27378
26,Female,PhD,Research Analyst,4,27767
32,Female,Bachelor,Software Engineer,4,35630
56,Female,Diploma,Content Writer,11,32532
44,Female,Bachelor,Customer Support,20,41356
41,Male,Bachelor,Network Engineer,7,34641
46,Female,High School,Content Writer,4,23380
27,Male,Master,IT Support Specialist,4,25827
39,Male,Diploma,Operations Manager,19,58366
42,Male,Master,Electrical Engineer,7,30765
48,Male,Bachelor,Content Writer,9,28643
55,Female,Master,Marketing Manager,35,75175
43,Female,Bachelor,Graphic Designer,1,20734
24,Female,Bachelor,Software Engineer,2,32180
45,Female,Master,Teacher,19,32675
51,Male,Bachelor,Product Manager,21,68925
30,Female,Bachelor,Accountant,1,25754
54,Male,Bachelor,Business Analyst,10,38212
35,Female,Master,Business Analyst,13,48003
34,Male,Bachelor,Accountant,11,37000
28,Male,Bachelor,Research Analyst,0,25000
60,Male,Diploma,Teacher,29,37665
32,Male,Diploma,Civil Engineer,3,27669
58,Male,Master,Marketing Manager,34,48806
55,Female,PhD,Research Analyst,21,38570
57,Female,Diploma,Customer Support,37,42636
48,Male,Bachelor,Legal Advisor,21,58419
47,Male,Bachelor,Network Engineer,10,39503
59,Male,Bachelor,Sales Executive,11,32328
39,Female,Bachelor,Accountant,7,32816
56,Male,Bachelor,Civil Engineer,1,26413
31,Male,Bachelor,Operations Manager,3,43814
36,Male,Master,Sales Executive,9,28704
48,Female,Master,Data Scientist,16,57089
38,Male,Bachelor,Teacher,13,30148
49,Female,Diploma,Data Scientist,10,50776
53,Male,Bachelor,Sales Executive,21,45482
42,Male,High School,Teacher,1,21476
30,Other,Bachelor,Operations Manager,9,45121
26,Male,Diploma,Electrical Engineer,5,27806
27,Female,Bachelor,Data Scientist,7,49846
25,Male,Master,Sales Executive,5,22969
59,Male,Master,Civil Engineer,26,50166
50,Male,Bachelor,Content Writer,24,52997
39,Male,Bachelor,Content Writer,2,19714
57,Other,Master,UI/UX Designer,36,72531
25,Female,Bachelor,Operations Manager,5,44913
47,Male,Bachelor,System Administrator,24,47708
35,Female,Bachelor,Marketing Manager,4,32416
25,Male,Bachelor,Content Writer,1,19419
38,Female,Master,Accountant,9,38220
31,Male,Master,Sales Executive,0,20000
23,Male,Bachelor,Data Scientist,0,40000
49,Male,Bachelor,Marketing Manager,7,36116
42,Male,Diploma,Financial Analyst,18,55200
21,Other,High School,Project Manager,1,50568
48,Male,Bachelor,Teacher,19,38579
39,Female,Bachelor,Marketing Manager,8,34741
33,Male,Bachelor,IT Support Specialist,2,21138
57,Male,Bachelor,Legal Advisor,28,44092
44,Female,Bachelor,System Administrator,7,32157
50,Female,Bachelor,Data Scientist,9,51773
22,Female,Bachelor,Business Analyst,1,31077
25,Female,Bachelor,Data Scientist,5,46263
44,Female,Diploma,Operations Manager,14,54880
24,Male,High School,Product Manager,1,51349
58,Female,Bachelor,IT Support Specialist,12,34101
24,Male,Bachelor,Legal Advisor,3,32190
21,Female,Diploma,Legal Advisor,1,30550
57,Female,PhD,Teacher,13,38111
60,Female,Bachelor,UI/UX Designer,0,25000
31,Female,PhD,Teacher,5,24137
43,Male,High School,Product Manager,18,73284
31,Female,Bachelor,Marketing Manager,1,31420
49,Male,Bachelor,Project Manager,7,55591
35,Female,Bachelor,Content Writer,0,18000
27,Female,Bachelor,Graphic Designer,4,25871
27,Other,Bachelor,Mechanical Engineer,5,31194
38,Female,Bachelor,Software Engineer,7,37098
23,Male,Bachelor,Business Analyst,0,30000
55,Male,Bachelor,Electrical Engineer,30,59151
23,Female,Master,Research Analyst,1,25852
36,Male,Bachelor,System Administrator,7,35125
60,Female,Bachelor,Operations Manager,32,77656
54,Male,Diploma,UI/UX Designer,28,41255
26,Male,Master,Graphic Designer,5,24550
46,Other,Bachelor,Research Analyst,24,44688
47,Male,Master,Product Manager,16,71958
30,Male,Bachelor,Civil Engineer,7,35395
43,Male,Bachelor,Graphic Designer,1,21239
43,Male,Bachelor,Product Manager,20,67274
34,Female,Bachelor,IT Support Specialist,7,23845
51,Male,Master,Product Manager,0,50000
28,Male,Master,IT Support Specialist,6,26217
48,Male,Master,Graphic Designer,5,25264
59,Male,Diploma,Teacher,4,23178
35,Other,Master,Business Analyst,5,36789
24,Female,High School,Product Manager,3,51508
56,Male,Bachelor,Electrical Engineer,3,28415
45,Female,Master,Network Engineer,16,37376
36,Male,Master,Customer Support,15,37422
23,Female,Bachelor,Product Manager,3,52648
39,Male,Bachelor,Electrical Engineer,4,27599
29,Male,Master,Legal Advisor,1,30668
25,Female,Bachelor,Business Analyst,3,32246
45,Male,Diploma,Business Analyst,23,61393
60,Male,Master,UI/UX Designer,23,41217
24,Female,Bachelor,Accountant,3,28595
38,Male,Bachelor,Content Writer,0,18000
41,Female,Master,Mechanical Engineer,4,30625
58,Female,Bachelor,HR Manager,30,54814
44,Female,Bachelor,IT Support Specialist,13,38153
42,Other,Bachelor,Legal Advisor,13,48908
47,Other,Master,Financial Analyst,19,52222
33,Female,Master,Content Writer,4,22113
36,Female,Master,IT Support Specialist,13,37480
44,Male,Master,Data Scientist,24,75260
34,Male,Diploma,System Administrator,1,25968
44,Female,Bachelor,Mechanical Engineer,3,29088
31,Female,Bachelor,Civil Engineer,0,25000
32,Female,Master,System Administrator,9,35035
46,Male,Bachelor,Electrical Engineer,7,29151
51,Male,Diploma,Operations Manager,4,44326
49,Female,Master,Mechanical Engineer,0,25000
48,Other,Master,UI/UX Designer,28,45466
43,Male,Master,Teacher,11,28818
38,Male,Master,Data Scientist,12,49536
36,Female,Bachelor,Legal Advisor,5,34060
50,Female,Bachelor,Graphic Designer,10,33032
27,Female,Diploma,Research Analyst,3,28873
33,Male,Master,Financial Analyst,2,31553
60,Male,Bachelor,Sales Executive,33,54674
25,Female,Bachelor,Graphic Designer,0,20000
34,Male,Diploma,Sales Executive,8,26271
38,Female,Bachelor,Network Engineer,12,37393
